match_id,point_description,is_aces,total_aces,total_points,ace_ratio
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018899,1,1,5,120,0.041666666666666664
12018899,1,1,5,120,0.041666666666666664
12018899,1,1,5,120,0.041666666666666664
12018899,1,1,5,120,0.041666666666666664
12018899,1,1,5,120,0.041666666666666664
12018932,1,1,4,77,0.05194805194805195
12018932,1,1,4,77,0.05194805194805195
12018932,1,1,4,77,0.05194805194805195
12018932,1,1,4,77,0.05194805194805195
12018933,1,1,2,94,0.02127659574468085
12018933,1,1,2,94,0.02127659574468085
12018934,1,1,6,175,0.03428571428571429
12018934,1,1,6,175,0.03428571428571429
12018934,1,1,6,175,0.03428571428571429
12018934,1,1,6,175,0.03428571428571429
12018934,1,1,6,175,0.03428571428571429
12018934,1,1,6,175,0.03428571428571429
12018937,1,1,1,83,0.012048192771084338
12018939,1,1,1,71,0.014084507042253521
12018941,1,1,3,102,0.029411764705882353
12018941,1,1,3,102,0.029411764705882353
12018941,1,1,3,102,0.029411764705882353
12018945,1,1,1,110,0.00909090909090909
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019043,1,1,23,162,0.1419753086419753
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019094,1,1,7,147,0.047619047619047616
12019106,1,1,2,85,0.023529411764705882
12019106,1,1,2,85,0.023529411764705882
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019658,1,1,10,88,0.11363636363636363
12019672,1,1,1,148,0.006756756756756757
12019673,1,1,2,175,0.011428571428571429
12019673,1,1,2,175,0.011428571428571429
12019677,1,1,3,37,0.08108108108108109
12019677,1,1,3,37,0.08108108108108109
12019677,1,1,3,37,0.08108108108108109
12019755,1,1,2,90,0.022222222222222223
12019755,1,1,2,90,0.022222222222222223
